"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"303","Varroc Engineering Ltd","VARROC","P&F | F.A","-2.74%","430.15","3,05,440"
"614","Hi-Tech Pipes Ltd","HITECH","P&F | F.A","-2.74%","102.5","28,30,444"
"760","Patel Engineering Limited","PATELENG","P&F | F.A","-2.74%","39.08","73,65,696"
"367","Iifl Holdings Limited","IIFL","P&F | F.A","-2.75%","327.65","16,04,971"
"503","Gic Housing Finance Limited","GICHSGFIN","P&F | F.A","-2.75%","167.75","2,94,754"
"302","Swan Energy Limited","SWANENERGY","P&F | F.A","-2.77%","430.2","21,20,457"
"590","Unicommerce eSolutions Ltd","UNIECOM","P&F | F.A","-2.77%","119.08","6,48,006"
"820","Nectar Lifesciences Limited","NECLIFE","P&F | F.A","-2.8%","22.95","23,40,881"
"967","Fcs Software Solutions Limited","FCSSOFT","P&F | F.A","-2.81%","2.42","43,94,866"
"553","Gujarat Pipavav Port Limited","GPPL","P&F | F.A","-2.82%","138.09","22,03,709"
"351","Eih Limited","EIHOTEL","P&F | F.A","-2.83%","353.5","5,70,330"
"854","Ht Media Limited","HTMEDIA","P&F | F.A","-2.84%","16.43","7,55,127"
"80","Affle India Ltd","AFFLE","P&F | F.A","-2.85%","1608.55","2,05,573"
"241","Senores Pharmaceuticals Ltd","SENORES","P&F | F.A","-2.86%","570.6","4,80,345"
"927","Accuracy Shipping Ltd","ACCURACY","P&F | F.A","-2.86%","7.46","4,45,834"
"998","Sanwaria Agro Oils Limited","SANWARIA","P&F | F.A","-2.86%","0.34","10,72,245"
"72","Hyundai Motor India Ltd","HYUNDAI","P&F | F.A","-2.87%","1707.65","6,93,170"
"128","Max Healthcare Institute Ltd","MAXHEALTH","P&F | F.A","-2.87%","1096.95","19,90,409"
"465","Castrol India Limited","CASTROLIND","P&F | F.A","-2.88%","202.96","35,06,121"
"580","Muthoot Microfin Ltd","MUTHOOTMF","P&F | F.A","-2.88%","122.84","5,23,606"
"452","Dishman Carbogen Amcis Ltd","DCAL","P&F | F.A","-2.89%","217.79","3,83,193"
"546","Satin Creditcare Network Limited","SATIN","P&F | F.A","-2.9%","142.98","3,68,143"
"937","M K Proteins Ltd","MKPL","P&F | F.A","-2.9%","6.02","3,55,429"
"175","Natco Pharma Limited","NATCOPHARM","P&F | F.A","-2.92%","798.75","6,51,092"
"560","Texmaco Rail & Engineering Limited","TEXRAIL","P&F | F.A","-2.92%","134.7","27,77,424"
"662","Western Carriers (India) Ltd","WCIL","P&F | F.A","-2.92%","76.58","5,79,994"
"806","Pearl Polymers Limited","PEARLPOLY","P&F | F.A","-2.94%","26.44","74,104"
"853","Syncom Formulations (India) Ltd","SYNCOMF","P&F | F.A","-2.95%","16.46","28,89,314"
"153","360 ONE WAM Ltd","360ONE","P&F | F.A","-2.96%","942.65","9,69,709"
"249","Cello World Ltd","CELLO","P&F | F.A","-2.96%","546.25","5,15,009"
"509","Share India Securities Ltd","SHAREINDIA","P&F | F.A","-2.97%","165.18","7,47,676"
"986","KBC Global Ltd","KBCGLOBAL","P&F | F.A","-2.97%","0.98","27,23,927"
"948","Nagarjuna Fertilizers And Chemicals Limited","NAGAFERT","P&F | F.A","-2.98%","4.23","39,71,087"
"85","GE Vernova T&D India Ltd","GVT&D","P&F | F.A","-2.99%","1558.75","4,61,180"
"356","Sonata Software Limited","SONATSOFTW","P&F | F.A","-2.99%","345.7","6,90,221"
"852","Infibeam Incorporation Limited","INFIBEAM","P&F | F.A","-2.99%","16.55","1,56,75,229"
"755","RattanIndia Enterprises Ltd","RTNINDIA","P&F | F.A","-3%","41.05","32,31,843"
"821","Orient Paper & Industries Limited","ORIENTPPR","P&F | F.A","-3.02%","22.8","15,33,186"
"477","Hubtown Limited","HUBTOWN","P&F | F.A","-3.04%","188.59","3,78,841"
"664","JTL Industries Ltd","JTLIND","P&F | F.A","-3.04%","75.98","19,28,888"
"873","A2z Infra Engineering Limited","A2ZINFRA","P&F | F.A","-3.05%","13.67","8,82,066"
"224","Upl Limited","UPL","P&F | F.A","-3.07%","636.25","44,21,109"
"523","Walchandnagar Industries Limited","WALCHANNAG","P&F | F.A","-3.07%","154.94","6,48,063"
"330","Heritage Foods Limited","HERITGFOOD","P&F | F.A","-3.08%","385.05","5,28,408"
"788","Kamdhenu Limited","KAMDHENU","P&F | F.A","-3.08%","29.54","20,95,107"
"770","Oswal Green Tech Ltd","OSWALGREEN","P&F | F.A","-3.1%","35.69","3,10,820"
"326","Sunteck Realty Limited","SUNTECK","P&F | F.A","-3.11%","387.3","2,84,291"
"292","Syrma SGS Technology Ltd","SYRMA","P&F | F.A","-3.12%","459.9","5,66,481"
"723","Goldstone Technologies Limited","GOLDTECH","P&F | F.A","-3.12%","51.9","1,21,068"
"280","Graphite India Limited","GRAPHITE","P&F | F.A","-3.13%","477.95","9,21,310"
"401","Platinum Industries Ltd","PLATIND","P&F | F.A","-3.15%","266.25","2,37,593"
"447","Rites Ltd","RITES","P&F | F.A","-3.15%","223.37","21,08,675"
"457","Greaves Cotton Limited","GREAVESCOT","P&F | F.A","-3.16%","214.8","18,80,506"
"710","Manali Petrochemicals Limited","MANALIPETC","P&F | F.A","-3.17%","56.13","5,70,923"
"454","Dreamfolks Services Ltd","DREAMFOLKS","P&F | F.A","-3.2%","217.5","4,54,325"
"335","Arvind Fashions Ltd","ARVINDFASN","P&F | F.A","-3.21%","373.4","4,32,248"
"652","National Fertilizers Limited","NFL","P&F | F.A","-3.21%","80.38","20,55,585"
"679","Andhra Paper Ltd","ANDHRAPAP","P&F | F.A","-3.21%","68.98","4,52,178"
"424","Prince Pipes & Fittings Ltd","PRINCEPIPE","P&F | F.A","-3.24%","245.25","2,67,622"
"549","Gandhar Oil Refinery (India) Ltd","GANDHAR","P&F | F.A","-3.25%","141.48","4,32,433"
"397","Mishra Dhatu Nigam Ltd","MIDHANI","P&F | F.A","-3.26%","271.89","5,56,983"
"622","Zee Entertainment Enterprises Limited","ZEEL","P&F | F.A","-3.26%","98.34","1,32,42,194"
"667","Saurashtra Cement Ltd","SAURASHCEM","P&F | F.A","-3.26%","75.09","6,01,011"
"581","Niit Limited","NIITLTD","P&F | F.A","-3.28%","122.74","13,33,754"
"178","One 97 Communications Ltd","PAYTM","P&F | F.A","-3.29%","783.45","65,02,695"
"715","Allcargo Gati Ltd","ACLGATI","P&F | F.A","-3.29%","53.15","12,21,204"
"922","Vishwaraj Sugar Industries Ltd","VISHWARAJ","P&F | F.A","-3.31%","7.88","19,50,215"
"215","Shriram Finance Ltd","SHRIRAMFIN","P&F | F.A","-3.32%","656","68,06,264"
"964","Noida Toll Bridge Company Limited","NOIDATOLL","P&F | F.A","-3.32%","2.62","7,91,931"
"987","Visagar Polytex Limited","VIVIDHA","P&F | F.A","-3.33%","0.87","4,09,778"
"137","Home First Finance Company India Ltd","HOMEFIRST","P&F | F.A","-3.36%","1014.15","3,29,469"
"728","Paramount Communications Limited","PARACABLES","P&F | F.A","-3.36%","49.4","24,37,414"
"826","Utkarsh Small Finance Bank Ltd","UTKARSHBNK","P&F | F.A","-3.38%","22.03","39,43,716"
"671","Shriram Properties Ltd","SHRIRAMPPS","P&F | F.A","-3.4%","72.51","24,64,852"
"151","CreditAccess Grameen Ltd","CREDITACC","P&F | F.A","-3.42%","951.95","7,51,798"
"953","Suvidhaa Infoserve Ltd","SUVIDHAA","P&F | F.A","-3.42%","3.95","6,49,434"
"940","Dish Tv India Limited","DISHTV","P&F | F.A","-3.43%","5.63","3,46,13,278"
"879","Zee Media Corporation Limited","ZEEMEDIA","P&F | F.A","-3.44%","12.9","31,58,517"
"962","Kshitij Polyline Ltd","KSHITIJPOL","P&F | F.A","-3.44%","2.81","5,00,919"
"621","Alembic Limited","ALEMBICLTD","P&F | F.A","-3.45%","98.54","6,26,187"
"745","Network18 Media & Investments Limited","NETWORK18","P&F | F.A","-3.45%","43.41","59,42,531"
"82","PB Fintech Ltd","POLICYBZR","P&F | F.A","-3.48%","1589.75","13,14,744"
"713","IDFC First Bank Ltd","IDFCFIRSTB","P&F | F.A","-3.48%","54.96","4,89,26,649"
